Store,PRODUCT NAME,CLOTHING CATEGORY,PRICE,DESCRIPTION,Product Page URL,STATIC IMAGE URL
Anthropologie,Pilcro High-Rise Moto Denim Leggings,Jeans,$130.00,"With seamed details for a contemporary finish, these leggings are an easy-to-style essential.",https://www.anthropologie.com/shop/pilcro-high-rise-moto-denim-leggings2?category=shop-all-jeans&color=031&type=STANDARD,https://s7d5.scene7.com/is/image/Anthropologie/loading-spacer?&fmt=png-alpha&wid=349&hei=523
Anthropologie,Paige Topanga Velvet Jumpsuit,Jeans,$279.00,"Rendered in black velvet, this sleek jumpsuit brings dramatic flair to every occasion - simply accessorize with your favorite jewels and platform heels.",https://www.anthropologie.com/shop/paige-topanga-velvet-jumpsuit?category=shop-all-jeans&color=001&type=STANDARD,https://s7d5.scene7.com/is/image/Anthropologie/loading-spacer?&fmt=png-alpha&wid=349&hei=523
Anthropologie,Citizens of Humanity Rocket High-Rise Cropped Skinny Jeans,Jeans,$198.00,"This high-rise pair hugs the body from the hip to just above the ankle for a laidback, wear-with-anything silhouette.",https://www.anthropologie.com/shop/citizens-of-humanity-rocket-high-rise-cropped-skinny-jeans6?category=shop-all-jeans&color=004&type=STANDARD,https://s7d5.scene7.com/is/image/Anthropologie/loading-spacer?&fmt=png-alpha&wid=349&hei=523
Anthropologie,Paige Hoxton High-Rise Cargo Skinny Jeans,Jeans,$199.00,"With a high rise, curve-hugging fit, and of-the-moment utilitarian details, this modern pair brings a versatile twist to your denim collection.",https://www.anthropologie.com/shop/paige-hoxton-high-rise-cargo-skinny-jeans3?category=shop-all-jeans&color=003&type=STANDARD,https://s7d5.scene7.com/is/image/Anthropologie/loading-spacer?&fmt=png-alpha&wid=349&hei=523
Anthropologie,AG The Angel High-Rise Bootcut Jeans,Jeans,$198.00,"This pair fits slim through the hip and flares slightly at the hem for a classic, wear-anywhere silhouette.",https://www.anthropologie.com/shop/ag-the-angel-high-rise-bootcut-jeans?category=shop-all-jeans&color=003&type=STANDARD,https://s7d5.scene7.com/is/image/Anthropologie/loading-spacer?&fmt=png-alpha&wid=349&hei=523
Anthropologie,Pilcro Corduroy High-Rise Bootcut Jeans,Jeans,$118.00,This high-rise pair is rendered in a cool corduroy for an of-the-moment style.,https://www.anthropologie.com/shop/pilcro-corduroy-high-rise-bootcut-jeans2?category=shop-all-jeans&color=005&type=STANDARD,https://s7d5.scene7.com/is/image/Anthropologie/loading-spacer?&fmt=png-alpha&wid=349&hei=523
Anthropologie,MOTHER The Runaway High-Rise Step Fray Bootcut Jeans,Jeans,$235.00,"Roomy enough to style with your ankle boots, but not as dramatic as the flare, these bootcut jeans feel sensibly wearable - and eternally chic.",https://www.anthropologie.com/shop/mother-the-runaway-high-rise-step-fray-bootcut-jeans?category=shop-all-jeans&color=047&type=STANDARD,https://s7d5.scene7.com/is/image/Anthropologie/loading-spacer?&fmt=png-alpha&wid=349&hei=523
Anthropologie,Citizens of Humanity Chloe High-Rise Flare Jeans,Jeans,$198.00,This flared pair flatters with a high rise for a vintage-inspired look.,https://www.anthropologie.com/shop/citizens-of-humanity-chloe-high-rise-flare-jeans5?category=shop-all-jeans&color=091&type=STANDARD,https://s7d5.scene7.com/is/image/Anthropologie/loading-spacer?&fmt=png-alpha&wid=349&hei=523
Anthropologie,MOTHER The Looker Patch XYZ High-Rise Skinny Jeans,Jeans,$248.00,"With front patch pockets and an exposed zip fly, these skinny jeans bring a hint of retro flair to your denim collection.",https://www.anthropologie.com/shop/mother-the-looker-patch-xyz-high-rise-skinny-jeans?category=shop-all-jeans&color=093&type=STANDARD,https://s7d5.scene7.com/is/image/Anthropologie/loading-spacer?&fmt=png-alpha&wid=349&hei=523
Anthropologie,AGOLDE Toni High-Rise Slim Straight Jeans,Jeans,$158.00,"This high-rise, vintage-inspired pair features a slim fit for maximum comfort and versatility.",https://www.anthropologie.com/shop/agolde-toni-high-rise-slim-straight-jeans?category=shop-all-jeans&color=005&type=STANDARD,https://s7d5.scene7.com/is/image/Anthropologie/loading-spacer?&fmt=png-alpha&wid=349&hei=523
Anthropologie,Citizens of Humanity Rocket Mid-Rise Skinny Jeans,Jeans,$188.00,"This classic mid-rise pair hugs the body from the hip to just above the ankle, creating a flattering, perfectly contoured silhouette.",https://www.anthropologie.com/shop/citizens-of-humanity-rocket-mid-rise-skinny-jeans?category=shop-all-jeans&color=003&type=STANDARD,https://s7d5.scene7.com/is/image/Anthropologie/loading-spacer?&fmt=png-alpha&wid=349&hei=523
Anthropologie,Pilcro High-Rise Wide-Leg Corduroy Pants,Jeans,$128.00,"In a retro-inspired silhouette, these high-rise cords are a wardrobe staple that you'll love for seasons to come.",https://www.anthropologie.com/shop/pilcro-high-rise-wide-leg-corduroy-pants2?category=shop-all-jeans&color=065&type=STANDARD,https://s7d5.scene7.com/is/image/Anthropologie/loading-spacer?&fmt=png-alpha&wid=349&hei=523
Anthropologie,Pilcro Ultra High-Rise Wide-Leg Cropped Jeans,Jeans,$130.00,Carpenter pockets and detailed seamwork lend both fashion and function to this closet staple.,https://www.anthropologie.com/shop/pilcro-ultra-high-rise-wide-leg-cropped-jeans?category=shop-all-jeans&color=093&type=STANDARD,https://s7d5.scene7.com/is/image/Anthropologie/loading-spacer?&fmt=png-alpha&wid=349&hei=523
Anthropologie,Paige Hoxton High-Rise Skinny Ankle Jeans,Jeans,$199.00,"Sitting high on the hips, this skinny pair is rendered in a dark rinse for maximum sleekness and polish.",https://www.anthropologie.com/shop/paige-hoxton-high-rise-skinny-ankle-jeans8?category=shop-all-jeans&color=091&type=STANDARD,https://s7d5.scene7.com/is/image/Anthropologie/loading-spacer?&fmt=png-alpha&wid=349&hei=523
Anthropologie,Pilcro High-Rise Wide-Leg Corduroy Pants,Jeans,$140.00,"Corduroy is tough and durable, yet soft and smooth, making it an enduringly chic closet addition.",https://www.anthropologie.com/shop/pilcro-high-rise-wide-leg-corduroy-pants?category=shop-all-jeans&color=025&type=STANDARD,https://s7d5.scene7.com/is/image/Anthropologie/loading-spacer?&fmt=png-alpha&wid=349&hei=523
Anthropologie,Pilcro Manna High-Rise Skinny Jeans,Jeans,$130.00,"Featuring a body-hugging fit that tapers through to the ankle, skinny jeans are a staple for the modern wardrobe. Whether tucked into boots or styled with sandals, this flattering silhouette is a classic go-to, any day of the week.",https://www.anthropologie.com/shop/pilcro-manna-high-rise-skinny-jeans?category=shop-all-jeans&color=093&type=STANDARD,https://s7d5.scene7.com/is/image/Anthropologie/loading-spacer?&fmt=png-alpha&wid=349&hei=523
Anthropologie,AG The Ex-Boyfriend High-Rise Slim Ankle Jeans,Jeans,$215.00,"In a dark rinse, this slim, cropped pair welcomes the weekend in style.",https://www.anthropologie.com/shop/ag-the-ex-boyfriend-high-rise-slim-ankle-jeans?category=shop-all-jeans&color=004&type=STANDARD,https://s7d5.scene7.com/is/image/Anthropologie/loading-spacer?&fmt=png-alpha&wid=349&hei=523
Anthropologie,MOTHER The Dazzler High-Rise Straight Jeans,Jeans,$198.00,"Rendered in classic white, this high-rise pair has a structured, straight leg that is cropped just above the ankle.",https://www.anthropologie.com/shop/mother-the-dazzler-high-rise-straight-jeans2?category=shop-all-jeans&color=019&type=STANDARD,https://s7d5.scene7.com/is/image/Anthropologie/loading-spacer?&fmt=png-alpha&wid=349&hei=523
Anthropologie,Pilcro Ultra High-Rise Seamed Straight Jeans,Jeans,$140.00,"Just to note: shoes, bedding, curtains, and swimwear must be shipped back to our warehouse and cannot be returned to a store. Good news – online returns for these items are free!",https://www.anthropologie.com/shop/pilcro-ultra-high-rise-seamed-straight-jeans?category=shop-all-jeans&color=093&type=STANDARD,https://s7d5.scene7.com/is/image/Anthropologie/loading-spacer?&fmt=png-alpha&wid=349&hei=523
Anthropologie,Citizens of Humanity Racer Low-Rise Skinny Jeans,Jeans,$238.00,"A popular look from the 1960s, skinny jeans reemerged in the mid-2000s as a universal trend - and it's no surprise why. At once form-flattering and understated, this tapered silhouette is crafted with stretch, ensuring each pair clings to your curves while promising all-day comfort.",https://www.anthropologie.com/shop/citizens-of-humanity-racer-low-rise-skinny-jeans3?category=shop-all-jeans&color=047&type=STANDARD,https://s7d5.scene7.com/is/image/Anthropologie/loading-spacer?&fmt=png-alpha&wid=349&hei=523
Anthropologie,Paige Verdugo Mid-Rise Skinny Ankle Jeans,Jeans,$179.00,"Merchandise must not be worn, washed, or altered. All tags must be attached and items must be returned in original packaging. Most merchandise can be returned within 60 days of the purchase date. A refund will be issued to the original form of payment at the original selling price. If returned after 60 days, a merchandise credit will be issued for the the original selling price.",https://www.anthropologie.com/shop/paige-verdugo-mid-rise-skinny-ankle-jeans5?category=shop-all-jeans&color=009&type=STANDARD,https://s7d5.scene7.com/is/image/Anthropologie/loading-spacer?&fmt=png-alpha&wid=349&hei=523
Anthropologie,Citizens of Humanity Emannuelle Mid-Rise Slim Bootcut Jeans,Jeans,$198.00,This bootcut pair is slim at the thigh and tapers out ever-so-slightly at the knee for a time-tested look.,https://www.anthropologie.com/shop/citizens-of-humanity-emannuelle-mid-rise-slim-bootcut-jeans4?category=shop-all-jeans&color=093&type=STANDARD,https://s7d5.scene7.com/is/image/Anthropologie/loading-spacer?&fmt=png-alpha&wid=349&hei=523
Anthropologie,Paige Hoxton Velvet-Paneled High-Rise Skinny Jeans,Jeans,$229.00,"Merchandise must not be worn, washed, or altered. All tags must be attached and items must be returned in original packaging. Most merchandise can be returned within 60 days of the purchase date. A refund will be issued to the original form of payment at the original selling price. If returned after 60 days, a merchandise credit will be issued for the the original selling price.",https://www.anthropologie.com/shop/paige-hoxton-velvet-paneled-high-rise-skinny-jeans?category=shop-all-jeans&color=001&type=STANDARD,https://s7d5.scene7.com/is/image/Anthropologie/loading-spacer?&fmt=png-alpha&wid=349&hei=523
Anthropologie,Boyish Donny High-Rise Skinny Jeans,Jeans,$148.00,"Featuring a body-hugging fit that tapers through to the ankle, skinny jeans are a staple for the modern wardrobe. Whether tucked into boots or styled with flats, this timeless silhouette is a go-to, any day of the week.",https://www.anthropologie.com/shop/boyish-donny-high-rise-skinny-jeans2?category=shop-all-jeans&color=093&type=STANDARD,https://s7d5.scene7.com/is/image/Anthropologie/loading-spacer?&fmt=png-alpha&wid=349&hei=523
Anthropologie,MOTHER The Weekender High-Rise Flare Jeans,Jeans,$228.00,"Merchandise must not be worn, washed, or altered. All tags must be attached and items must be returned in original packaging. Most merchandise can be returned within 60 days of the purchase date. A refund will be issued to the original form of payment at the original selling price. If returned after 60 days, a merchandise credit will be issued for the the original selling price.",https://www.anthropologie.com/shop/mother-the-weekender-high-rise-flare-jeans2?category=shop-all-jeans&color=047&type=STANDARD,https://s7d5.scene7.com/is/image/Anthropologie/loading-spacer?&fmt=png-alpha&wid=349&hei=523
Anthropologie,AGOLDE Riley Ultra High-Rise Cropped Straight Jeans,Jeans,$188.00,This classic straight pair is slightly cropped with a relaxed fit for maximum comfort and style.,https://www.anthropologie.com/shop/agolde-riley-ultra-high-rise-cropped-straight-jeans3?category=shop-all-jeans&color=092&type=STANDARD,https://s7d5.scene7.com/is/image/Anthropologie/loading-spacer?&fmt=png-alpha&wid=349&hei=523
Anthropologie,Paige Verdugo Mid-Rise Skinny Ankle Jeans,Jeans,$179.00,"Merchandise must not be worn, washed, or altered. All tags must be attached and items must be returned in original packaging. Most merchandise can be returned within 60 days of the purchase date. A refund will be issued to the original form of payment at the original selling price. If returned after 60 days, a merchandise credit will be issued for the the original selling price.",https://www.anthropologie.com/shop/paige-verdugo-mid-rise-skinny-ankle-jeans4?category=shop-all-jeans&color=001&type=STANDARD,https://s7d5.scene7.com/is/image/Anthropologie/loading-spacer?&fmt=png-alpha&wid=349&hei=523
Anthropologie,MOTHER The Weekender Mid-Rise Bootcut Jeans,Jeans,$228.00,"Roomy enough to style with your ankle boots, but not as dramatic as the flare, these bootcut jeans feel sensibly wearable - and eternally chic.",https://www.anthropologie.com/shop/mother-the-weekender-mid-rise-bootcut-jeans2?category=shop-all-jeans&color=092&type=STANDARD,https://s7d5.scene7.com/is/image/Anthropologie/loading-spacer?&fmt=png-alpha&wid=349&hei=523
